"adm0_name","who_region","iso_3_code","first_epiwk","last_epiwk","case_total","death_total"
"AFGHANISTAN","EMRO","AFG",2023-01-02,2023-12-25,222249,101
"BANGLADESH","SEARO","BGD",2023-01-02,2023-12-04,158,0
"BURUNDI","AFRO","BDI",2023-01-09,2023-12-25,1348,9
"CAMEROON","AFRO","CMR",2023-01-02,2023-12-25,6477,209
"CONGO","AFRO","COG",2023-07-24,2023-08-21,69,5
"DEMOCRATIC REPUBLIC OF THE CONGO","AFRO","COD",2023-01-08,2023-12-31,51970,437
"DOMINICAN REPUBLIC","AMRO","DOM",2023-03-06,2023-12-20,149,0
"ESWATINI","AFRO","SWZ",2023-03-27,2023-04-17,2,0
"ETHIOPIA","AFRO","ETH",2023-01-02,2023-12-25,30463,413
"HAITI","AMRO","HTI",2023-01-02,2023-12-18,56355,779
"INDIA","SEARO","IND",2023-01-23,2023-12-18,5436,14
"IRAQ","EMRO","IRQ",2023-09-25,2023-12-25,1376,7
"KENYA","AFRO","KEN",2023-01-16,2023-12-04,8926,145
"LEBANON","EMRO","LBN",2023-01-02,2023-05-29,2386,0
"MALAWI","AFRO","MWI",2023-01-02,2023-12-25,41219,1179
"MOZAMBIQUE","AFRO","MOZ",2023-01-02,2023-12-25,39908,156
"NIGERIA","AFRO","NGA",2023-01-02,2023-12-25,3683,128
"PAKISTAN","EMRO","PAK",2023-10-09,2023-11-13,145,0
"PHILIPPINES","WPRO","PHL",2023-01-02,2023-11-27,3756,19
"SOMALIA","EMRO","SOM",2023-01-02,2023-12-25,18304,46
"SOUTH AFRICA","AFRO","ZAF",2023-08-28,2023-12-04,1391,47
"SOUTH SUDAN","AFRO","SSD",2023-02-20,2023-05-29,1471,2
"SUDAN","EMRO","SDN",2023-06-26,2023-12-25,8843,246
"SYRIAN ARAB REPUBLIC","EMRO","SYR",2023-01-02,2023-12-11,180288,7
"TOGO","AFRO","TGO",2023-12-11,2023-12-11,1,0
"UGANDA","AFRO","UGA",2023-07-24,2023-09-11,80,10
"UNITED REPUBLIC OF TANZANIA","AFRO","TZA",2023-01-16,2023-12-25,1068,23
"YEMEN","EMRO","YEM",2023-01-02,2023-12-25,3804,14
"ZAMBIA","AFRO","ZMB",2023-01-09,2023-12-25,4095,117
"ZIMBABWE","AFRO","ZWE",2023-02-13,2023-12-25,14517,320
