"region","country","iso_code","year","cases_total","cases_imported","deaths_total","cfr"
"AFR0","Zambia","ZMB",2012,198,NA,2,0.0101010101010101
"AFR0","Zambia","ZMB",2017,1794,NA,57,0.0317725752508361
"AFR0","Zambia","ZMB",2018,4082,NA,74,0.0181283684468398
"AFR0","Zambia","ZMB",2019,447,NA,9,0.0201342281879195
"AFR0","Zimbabwe","ZWE",1973,1,NA,NA,NA
"AFR0","Zimbabwe","ZWE",1974,37,NA,0,0
"AFR0","Zimbabwe","ZWE",1975,615,NA,33,0.0536585365853659
"AFR0","Zimbabwe","ZWE",1976,144,NA,9,0.0625
"AFR0","Zimbabwe","ZWE",1985,144,NA,6,0.0416666666666667
"AFR0","Zimbabwe","ZWE",1986,2,NA,NA,NA
"AFR0","Zimbabwe","ZWE",1992,2048,NA,105,0.05126953125
"AFR0","Zimbabwe","ZWE",1993,5385,NA,332,0.061652739090065
"AFR0","Zimbabwe","ZWE",1998,995,NA,44,0.0442211055276382
"AFR0","Zimbabwe","ZWE",1999,5637,NA,385,0.0682987404647862
"AFR0","Zimbabwe","ZWE",2000,1675,NA,223,0.133134328358209
"AFR0","Zimbabwe","ZWE",2001,650,NA,14,0.0215384615384615
"AFR0","Zimbabwe","ZWE",2002,3125,NA,192,0.06144
"AFR0","Zimbabwe","ZWE",2003,1009,NA,35,0.0346878097125867
"AFR0","Zimbabwe","ZWE",2004,119,NA,9,0.0756302521008403
"AFR0","Zimbabwe","ZWE",2005,516,NA,26,0.0503875968992248
"AFR0","Zimbabwe","ZWE",2006,789,NA,61,0.0773130544993663
"AFR0","Zimbabwe","ZWE",2007,65,NA,4,0.0615384615384615
"AFR0","Zimbabwe","ZWE",2008,60055,NA,2928,0.0487553076346682
"AFR0","Zimbabwe","ZWE",2009,68153,NA,2706,0.0397047818878112
"AFR0","Zimbabwe","ZWE",2010,951,NA,21,0.0220820189274448
"AFR0","Zimbabwe","ZWE",2011,1220,NA,2,0.00163934426229508
"AFR0","Zimbabwe","ZWE",2012,23,NA,1,0.0434782608695652
"AFR0","Zimbabwe","ZWE",2015,60,NA,0,0
"AFR0","Zimbabwe","ZWE",2016,10,NA,1,0.1
"AFR0","Zimbabwe","ZWE",2018,10692,NA,65,0.00607931163486719
"AFR0","Zimbabwe","ZWE",2019,61,NA,3,0.0491803278688525
